kind,dlinrt_name,dlinrt_id,company,status,srn,certificate_numbers,notified_bodies,legislation,risk_class,basic_udi,emdn_code,eudamed_name,candidate_count,note,query_url
company,MVision AI,mvision-ai,MVision AI,confirmed,FI-MF-000013082,,,,,,,MVision AI Oy,1,Manufacturer · FI · active; 0 certificates in EUDAMED,https://ec.europa.eu/tools/eudamed/api/eos?page=0&pageSize=20&size=20&languageIso2Code=en&name=MVision+AI
company,RadFormation,radformation,RadFormation,confirmed,US-MF-000009824,,,,,,,"Radformation, Inc.",1,Manufacturer · US · active; 0 certificates in EUDAMED,https://ec.europa.eu/tools/eudamed/api/eos?page=0&pageSize=20&size=20&languageIso2Code=en&name=RadFormation
company,Synaptiq,synaptiq,Synaptiq,confirmed,RO-MF-000038617,HZ 2447216-1,0197,quality-management-system,,,,SYNAPTIQ TECHNOLOGIES SRL,1,Manufacturer · RO · active,https://ec.europa.eu/tools/eudamed/api/eos?page=0&pageSize=20&size=20&languageIso2Code=en&name=Synaptiq
company,Therapanacea,therapanacea,Therapanacea,confirmed,FR-MF-000007672,,,,,,,THERAPANACEA,1,Manufacturer · FR · active; 0 certificates in EUDAMED,https://ec.europa.eu/tools/eudamed/api/eos?page=0&pageSize=20&size=20&languageIso2Code=en&name=Therapanacea
company,Vysioneer,vysioneer,Vysioneer,not-registered,,,,,,,,,0,no registered actor returned for this name (registration mandatory from 2026-05-28); 0 certificates in EUDAMED,https://ec.europa.eu/tools/eudamed/api/eos?page=0&pageSize=20&size=20&languageIso2Code=en&name=Vysioneer
company,Wisdom Tech,wisdom-tech,Wisdom Tech,not-registered,,,,,,,,,0,no registered actor returned for this name (registration mandatory from 2026-05-28); 0 certificates in EUDAMED,https://ec.europa.eu/tools/eudamed/api/eos?page=0&pageSize=20&size=20&languageIso2Code=en&name=Wisdom+Tech
company,Aitewan Biomedical Technology,aitewan,Aitewan Biomedical Technology,not-registered,,,,,,,,,0,no registered actor returned for this name (registration mandatory from 2026-05-28); 0 certificates in EUDAMED,https://ec.europa.eu/tools/eudamed/api/eos?page=0&pageSize=20&size=20&languageIso2Code=en&name=Aitewan+Biomedical+Technology
company,Oncosoft,oncosoft,Oncosoft,confirmed,KR-MF-000049550,,,,,,,Oncosoft Inc.,1,Manufacturer · KR · active; 0 certificates in EUDAMED,https://ec.europa.eu/tools/eudamed/api/eos?page=0&pageSize=20&size=20&languageIso2Code=en&name=Oncosoft
company,MedCom,medcom,MedCom,ambiguous,IT-IM-000054965,,,,,,,Medcomp srl,7,Importer · IT · active; 6 matching actors; 0 certificates in EUDAMED,https://ec.europa.eu/tools/eudamed/api/eos?page=0&pageSize=20&size=20&languageIso2Code=en&name=MedCom
company,GE Healthcare,ge-healthcare,GE Healthcare,ambiguous,DK-IM-000003766,US26/00000269 | US24/00000159 | HZ 2241523-1 | HZ 2066093-1 | HZ 2066093-1 | G10 111265 0001 | DZ 1997616-1 | DZ 1997616-1 | CR-03-1004-836-24,1639 | 0197 | 0123 | 0537,quality-management-system | quality-assurance,,,,GE Healthcare Denmark A/S,20,Importer · DK · active; 20 matching actors,https://ec.europa.eu/tools/eudamed/api/eos?page=0&pageSize=20&size=20&languageIso2Code=en&name=GE+Healthcare
company,Philips,philips-healthcare,Philips,ambiguous,US-MF-000002321,MDR 731459 | MDR 731457 | HZ 1135905-1 | G15 036155 0072 | G15 011876 0036 | G10 036155 0060 | 2243163CE01,2797 | 0197 | 0123 | 0344,quality-management-system | technical-documentation,,,,Philips Medical Systems,20,Manufacturer · US · active; 20 matching actors,https://ec.europa.eu/tools/eudamed/api/eos?page=0&pageSize=20&size=20&languageIso2Code=en&name=Philips
company,Siemens Healthineers,siemens-healthineers,Siemens Healthineers,ambiguous,DE-MF-000038456,,,,,,,Siemens Healthineers AG,9,Manufacturer · DE · active; 9 matching actors; 0 certificates in EUDAMED,https://ec.europa.eu/tools/eudamed/api/eos?page=0&pageSize=20&size=20&languageIso2Code=en&name=Siemens+Healthineers
company,Canon Medical Systems,canon-medical,Canon Medical Systems,ambiguous,JP-MF-000011499,,,,,,,Canon Medical Systems Corporation,3,Manufacturer · JP · active; 3 matching actors; 0 certificates in EUDAMED,https://ec.europa.eu/tools/eudamed/api/eos?page=0&pageSize=20&size=20&languageIso2Code=en&name=Canon+Medical+Systems
company,United Imaging,united-imaging,United Imaging,ambiguous,IT-IM-000056333,HZ 2057357-1 | G15 108822 0021 | G10 087510 0095,0197 | 0123,quality-management-system,,,,United Imaging Healthcare Italy S.R.L,9,Importer · IT · active; 9 matching actors,https://ec.europa.eu/tools/eudamed/api/eos?page=0&pageSize=20&size=20&languageIso2Code=en&name=United+Imaging
company,Taiwan Medical Imaging Co.,taiwan-medical-imaging,Taiwan Medical Imaging Co.,not-registered,,,,,,,,,0,no registered actor returned for this name (registration mandatory from 2026-05-28); 0 certificates in EUDAMED,https://ec.europa.eu/tools/eudamed/api/eos?page=0&pageSize=20&size=20&languageIso2Code=en&name=Taiwan+Medical+Imaging+Co.
company,AlgoMedica,algomedica,AlgoMedica,not-registered,,,,,,,,,0,no registered actor returned for this name (registration mandatory from 2026-05-28); 0 certificates in EUDAMED,https://ec.europa.eu/tools/eudamed/api/eos?page=0&pageSize=20&size=20&languageIso2Code=en&name=AlgoMedica
company,Spectronic Medical,spectronic-medical,Spectronic Medical,confirmed,SE-MF-000024476,,,,,,,Spectronic Medical AB,1,Manufacturer · SE · active; 0 certificates in EUDAMED,https://ec.europa.eu/tools/eudamed/api/eos?page=0&pageSize=20&size=20&languageIso2Code=en&name=Spectronic+Medical
company,InformAI,informai,InformAI,not-registered,,,,,,,,,0,no registered actor returned for this name (registration mandatory from 2026-05-28); 0 certificates in EUDAMED,https://ec.europa.eu/tools/eudamed/api/eos?page=0&pageSize=20&size=20&languageIso2Code=en&name=InformAI
company,RaySearch Laboratories,raysearch,RaySearch Laboratories,confirmed,SE-MF-000001908,,,,,,,RAYSEARCH LABORATORIES AB (PUBL),1,Manufacturer · SE · active; 0 certificates in EUDAMED,https://ec.europa.eu/tools/eudamed/api/eos?page=0&pageSize=20&size=20&languageIso2Code=en&name=RaySearch+Laboratories
company,AIRS Medical,airs-medical,AIRS Medical,confirmed,KR-MF-000009149,SCAR-23.2.1.0 | C596987,3022 | 2460,quality-management-system,,,,AIRS Medical Inc.,1,Manufacturer · KR · active,https://ec.europa.eu/tools/eudamed/api/eos?page=0&pageSize=20&size=20&languageIso2Code=en&name=AIRS+Medical
company,ClariPi,claripi,ClariPi,confirmed,KR-MF-000031518,,,,,,,ClariPi Inc.,1,Manufacturer · KR · active; 0 certificates in EUDAMED,https://ec.europa.eu/tools/eudamed/api/eos?page=0&pageSize=20&size=20&languageIso2Code=en&name=ClariPi
company,Subtle Medical,subtle-medical,Subtle Medical,confirmed,US-MF-000032747,28620157147,2862,quality-management-system,,,,"Subtle Medical, Inc.",1,Manufacturer · US · active,https://ec.europa.eu/tools/eudamed/api/eos?page=0&pageSize=20&size=20&languageIso2Code=en&name=Subtle+Medical
company,PTW,ptw-dosimetry,PTW,confirmed,DE-MF-000005794,,,,,,,PTW-Freiburg Physikalisch-Technische Werkstätten Dr. Pychlau GmbH,1,Manufacturer · DE · active; 0 certificates in EUDAMED,https://ec.europa.eu/tools/eudamed/api/eos?page=0&pageSize=20&size=20&languageIso2Code=en&name=PTW
company,PyMedix,pymedix,PyMedix,not-registered,,,,,,,,,0,no registered actor returned for this name (registration mandatory from 2026-05-28); 0 certificates in EUDAMED,https://ec.europa.eu/tools/eudamed/api/eos?page=0&pageSize=20&size=20&languageIso2Code=en&name=PyMedix
company,"MedLever, Inc.",medlever,"MedLever, Inc.",not-registered,,,,,,,,,0,no registered actor returned for this name (registration mandatory from 2026-05-28); 0 certificates in EUDAMED,https://ec.europa.eu/tools/eudamed/api/eos?page=0&pageSize=20&size=20&languageIso2Code=en&name=MedLever%2C+Inc.
company,"MedMind Technology Co., Ltd.",medmind-technology,"MedMind Technology Co., Ltd.",not-registered,,,,,,,,,0,no registered actor returned for this name (registration mandatory from 2026-05-28); 0 certificates in EUDAMED,https://ec.europa.eu/tools/eudamed/api/eos?page=0&pageSize=20&size=20&languageIso2Code=en&name=MedMind+Technology+Co.%2C+Ltd.
company,Quanta Computer Inc.,quanta-computer,Quanta Computer Inc.,confirmed,TW-MF-000022042,,,,,,,Quanta Computer Inc.,1,Manufacturer · TW · active; 0 certificates in EUDAMED,https://ec.europa.eu/tools/eudamed/api/eos?page=0&pageSize=20&size=20&languageIso2Code=en&name=Quanta+Computer+Inc.
company,Lumonus,lumonus,Lumonus,not-registered,,,,,,,,,0,no registered actor returned for this name (registration mandatory from 2026-05-28); 0 certificates in EUDAMED,https://ec.europa.eu/tools/eudamed/api/eos?page=0&pageSize=20&size=20&languageIso2Code=en&name=Lumonus
company,Elekta,elekta,Elekta,ambiguous,SE-MF-000001401,,,,,,,Elekta Instrument AB,10,Manufacturer · SE · inactive; 10 matching actors; 0 certificates in EUDAMED,https://ec.europa.eu/tools/eudamed/api/eos?page=0&pageSize=20&size=20&languageIso2Code=en&name=Elekta
company,Accuray®,accuray,Accuray®,not-registered,,,,,,,,,0,no registered actor returned for this name (registration mandatory from 2026-05-28); 0 certificates in EUDAMED,https://ec.europa.eu/tools/eudamed/api/eos?page=0&pageSize=20&size=20&languageIso2Code=en&name=Accuray%C2%AE
company,Sun Nuclear (Mirion Medical),sun-nuclear,Sun Nuclear (Mirion Medical),not-registered,,,,,,,,,0,no registered actor returned for this name (registration mandatory from 2026-05-28); 0 certificates in EUDAMED,https://ec.europa.eu/tools/eudamed/api/eos?page=0&pageSize=20&size=20&languageIso2Code=en&name=Sun+Nuclear+%28Mirion+Medical%29
company,MD Anderson Cancer Center,md-anderson,MD Anderson Cancer Center,not-registered,,,,,,,,,0,no registered actor returned for this name (registration mandatory from 2026-05-28); 0 certificates in EUDAMED,https://ec.europa.eu/tools/eudamed/api/eos?page=0&pageSize=20&size=20&languageIso2Code=en&name=MD+Anderson+Cancer+Center
company,Brainlab,brainlab,Brainlab,ambiguous,DE-IM-000006186,G70 037489 0098 | G70 037489 0072 | G70 037489 0071 | G12 037489 0070 | G11 037489 0060 | G10 037489 0059 | 3902756CE01,0123 | 0344,technical-documentation | quality-management-system,,,,Brainlab SE,4,Importer · DE · active; 4 matching actors,https://ec.europa.eu/tools/eudamed/api/eos?page=0&pageSize=20&size=20&languageIso2Code=en&name=Brainlab
company,Varian (Siemens Healthineers),varian,Varian (Siemens Healthineers),not-registered,,,,,,,,,0,no registered actor returned for this name (registration mandatory from 2026-05-28); 0 certificates in EUDAMED,https://ec.europa.eu/tools/eudamed/api/eos?page=0&pageSize=20&size=20&languageIso2Code=en&name=Varian+%28Siemens+Healthineers%29
product,Limbus Contour,limbus-contour,Limbus AI,confirmed,CA-MF-000025514,,,,class-i,B-00628011382177,,Limbus Contour,1,manufacturer: Limbus AI Inc.,https://ec.europa.eu/tools/eudamed/api/devices/udiDiData?page=0&pageSize=20&size=20&languageIso2Code=en&tradeName=Limbus+Contour
product,Contour+,mvision-ai-contouring,MVision AI,confirmed,FI-MF-000013082,,,,class-iia,64298300642AISEG1.2SZ,,Contour+ (MVision AI Segmentation),1,manufacturer: MVision AI Oy,https://ec.europa.eu/tools/eudamed/api/devices/udiDiData?page=0&pageSize=20&size=20&languageIso2Code=en&tradeName=Contour%2B
product,DLC Expert,mirada-dlc,Mirada Medical,not-registered,,,,,,,,,0,no UDI-DI record returned for this trade name (device registration mandatory from 2026-05-28),https://ec.europa.eu/tools/eudamed/api/devices/udiDiData?page=0&pageSize=20&size=20&languageIso2Code=en&tradeName=DLC+Expert
product,Deep Learning Segmentation,raysearch-raystation,RaySearch Laboratories,not-registered,,,,,,,,,0,no UDI-DI record returned for this trade name (device registration mandatory from 2026-05-28),https://ec.europa.eu/tools/eudamed/api/devices/udiDiData?page=0&pageSize=20&size=20&languageIso2Code=en&tradeName=Deep+Learning+Segmentation
product,Annotate,therapanacea-annotate,Therapanacea,not-registered,,,,,,,,,0,no UDI-DI record returned for this trade name (device registration mandatory from 2026-05-28),https://ec.europa.eu/tools/eudamed/api/devices/udiDiData?page=0&pageSize=20&size=20&languageIso2Code=en&tradeName=Annotate
product,TumorBox,therapanacea-tumorbox,Therapanacea,not-registered,,,,,,,,,0,no UDI-DI record returned for this trade name (device registration mandatory from 2026-05-28),https://ec.europa.eu/tools/eudamed/api/devices/udiDiData?page=0&pageSize=20&size=20&languageIso2Code=en&tradeName=TumorBox
product,BrachyBox,therapanacea-brachybox,Therapanacea,not-registered,,,,,,,,,0,no UDI-DI record returned for this trade name (device registration mandatory from 2026-05-28),https://ec.europa.eu/tools/eudamed/api/devices/udiDiData?page=0&pageSize=20&size=20&languageIso2Code=en&tradeName=BrachyBox
product,Jazz,ai-medical-jazz,AI Medical,ambiguous,,,,,,,,,20,"20 UDI-DI record(s) share this trade name, none from AI Medical; first manufacturer: Keeler Ltd",https://ec.europa.eu/tools/eudamed/api/devices/udiDiData?page=0&pageSize=20&size=20&languageIso2Code=en&tradeName=Jazz
product,INTContour,carina-intcontour,Carina AI,not-registered,,,,,,,,,0,no UDI-DI record returned for this trade name (device registration mandatory from 2026-05-28),https://ec.europa.eu/tools/eudamed/api/devices/udiDiData?page=0&pageSize=20&size=20&languageIso2Code=en&tradeName=INTContour
product,Aview RT ACS,coreline-aview-rt-acs,Coreline Soft Co,not-registered,,,,,,,,,0,no UDI-DI record returned for this trade name (device registration mandatory from 2026-05-28),https://ec.europa.eu/tools/eudamed/api/devices/udiDiData?page=0&pageSize=20&size=20&languageIso2Code=en&tradeName=Aview+RT+ACS
product,RT Suite v1 (HCAP-Segmentation),everfortune-rt-suite,Ever Fortune AI,not-registered,,,,,,,,,0,no UDI-DI record returned for this trade name (device registration mandatory from 2026-05-28),https://ec.europa.eu/tools/eudamed/api/devices/udiDiData?page=0&pageSize=20&size=20&languageIso2Code=en&tradeName=RT+Suite+v1+%28HCAP-Segmentation%29
product,Seg Pro V3 (RT-300),everfortune-seg-pro-v3,Ever Fortune AI,not-registered,,,,,,,,,0,no UDI-DI record returned for this trade name (device registration mandatory from 2026-05-28),https://ec.europa.eu/tools/eudamed/api/devices/udiDiData?page=0&pageSize=20&size=20&languageIso2Code=en&tradeName=Seg+Pro+V3+%28RT-300%29
product,Auto Segmentation,ge-auto-segmentation,GE Healthcare,confirmed,US-MF-000018315,,,,class-iib,8406821BUG00320GZ,,Auto Segmentation,1,"manufacturer: GE Medical Systems, LLC",https://ec.europa.eu/tools/eudamed/api/devices/udiDiData?page=0&pageSize=20&size=20&languageIso2Code=en&tradeName=Auto+Segmentation
product,DV.TARGET,hura-dvtarget,Hura Imaging,not-registered,,,,,,,,,0,no UDI-DI record returned for this trade name (device registration mandatory from 2026-05-28),https://ec.europa.eu/tools/eudamed/api/devices/udiDiData?page=0&pageSize=20&size=20&languageIso2Code=en&tradeName=DV.TARGET
product,AccuContour,manteia-accucontour,Manteia,ambiguous,CN-MF-000023911,,,,class-iia,697312740AccuContourLTQ3,,AccuContour-Lite,2,"manufacturer: Manteia Technologies Co., Ltd.; 2 matching records",https://ec.europa.eu/tools/eudamed/api/devices/udiDiData?page=0&pageSize=20&size=20&languageIso2Code=en&tradeName=AccuContour
product,Contour ProtégéAI+,mim-contour-protegeai,MIM Software,confirmed,US-MF-000007063,,,,class-iia,B-00850009343307,,Contour ProtégéAI+,1,manufacturer: MIM Software Inc.,https://ec.europa.eu/tools/eudamed/api/devices/udiDiData?page=0&pageSize=20&size=20&languageIso2Code=en&tradeName=Contour+Prot%C3%A9g%C3%A9AI%2B
product,AutoContour,radformation-autocontour,RadFormation,ambiguous,US-MF-000009824,,,,class-iia,08600016727AutoContourEC,,AutoContour,3,"manufacturer: Radformation, Inc.; 3 matching records",https://ec.europa.eu/tools/eudamed/api/devices/udiDiData?page=0&pageSize=20&size=20&languageIso2Code=en&tradeName=AutoContour
product,AI-Rad Companion Organs RT,siemens-ai-rad-companion,Siemens Healthineers,ambiguous,DE-MF-000006122,,,,class-iib,0405686902011UN,,AI-Rad Companion Organs RT,2,manufacturer: Siemens Healthcare GmbH; 2 matching records,https://ec.europa.eu/tools/eudamed/api/devices/udiDiData?page=0&pageSize=20&size=20&languageIso2Code=en&tradeName=AI-Rad+Companion+Organs+RT
product,Mediq RT,synaptiq-mediq-rt,Synaptiq,not-registered,,,,,,,,,0,no UDI-DI record returned for this trade name (device registration mandatory from 2026-05-28),https://ec.europa.eu/tools/eudamed/api/devices/udiDiData?page=0&pageSize=20&size=20&languageIso2Code=en&tradeName=Mediq+RT
product,Vbrain,vysioner-vbrain,Vysioneer,lookup-failed,,,,,,,,,0,device lookup: HTTP 429,https://ec.europa.eu/tools/eudamed/api/devices/udiDiData?page=0&pageSize=20&size=20&languageIso2Code=en&tradeName=Vbrain
product,DeepContour,wisdom-deep-contour,Wisdom Tech,not-registered,,,,,,,,,0,no UDI-DI record returned for this trade name (device registration mandatory from 2026-05-28),https://ec.europa.eu/tools/eudamed/api/devices/udiDiData?page=0&pageSize=20&size=20&languageIso2Code=en&tradeName=DeepContour
product,DirectORGANS,siemens-directorgans,Siemens Healthineers,not-registered,,,,,,,,,0,no UDI-DI record returned for this trade name (device registration mandatory from 2026-05-28),https://ec.europa.eu/tools/eudamed/api/devices/udiDiData?page=0&pageSize=20&size=20&languageIso2Code=en&tradeName=DirectORGANS
product,OncoStudio,oncosoft-oncostudio,Oncosoft,not-registered,,,,,,,,,0,no UDI-DI record returned for this trade name (device registration mandatory from 2026-05-28),https://ec.europa.eu/tools/eudamed/api/devices/udiDiData?page=0&pageSize=20&size=20&languageIso2Code=en&tradeName=OncoStudio
product,TAIMedImg DeepMets,taimedimg-deepmets,Taiwan Medical Imaging Co.,not-registered,,,,,,,,,0,no UDI-DI record returned for this trade name (device registration mandatory from 2026-05-28),https://ec.europa.eu/tools/eudamed/api/devices/udiDiData?page=0&pageSize=20&size=20&languageIso2Code=en&tradeName=TAIMedImg+DeepMets
product,Brainlab Elements Contouring 5.0 (APM / Elements Segmentation),brainlab-elements-rt-seg,Brainlab,not-registered,,,,,,,,,0,no UDI-DI record returned for this trade name (device registration mandatory from 2026-05-28),https://ec.europa.eu/tools/eudamed/api/devices/udiDiData?page=0&pageSize=20&size=20&languageIso2Code=en&tradeName=Brainlab+Elements+Contouring+5.0+%28APM+%2F+Elements+Segmentation%29
product,MR Contour DL,ge-mr-contour-dl,GE Healthcare,not-registered,,,,,,,,,0,no UDI-DI record returned for this trade name (device registration mandatory from 2026-05-28),https://ec.europa.eu/tools/eudamed/api/devices/udiDiData?page=0&pageSize=20&size=20&languageIso2Code=en&tradeName=MR+Contour+DL
product,RT-Mind-AI,medmind-rt-mind-ai,"MedMind Technology Co., Ltd.",not-registered,,,,,,,,,0,no UDI-DI record returned for this trade name (device registration mandatory from 2026-05-28),https://ec.europa.eu/tools/eudamed/api/devices/udiDiData?page=0&pageSize=20&size=20&languageIso2Code=en&tradeName=RT-Mind-AI
product,Ethos AI Segmentation,varian-ethos-ai-segmentation,Varian (Siemens Healthineers),not-registered,,,,,,,,,0,no UDI-DI record returned for this trade name (device registration mandatory from 2026-05-28),https://ec.europa.eu/tools/eudamed/api/devices/udiDiData?page=0&pageSize=20&size=20&languageIso2Code=en&tradeName=Ethos+AI+Segmentation
product,AI Contouring for Eclipse,varian-eclipse-ai-contouring,Varian (Siemens Healthineers),not-registered,,,,,,,,,0,no UDI-DI record returned for this trade name (device registration mandatory from 2026-05-28),https://ec.europa.eu/tools/eudamed/api/devices/udiDiData?page=0&pageSize=20&size=20&languageIso2Code=en&tradeName=AI+Contouring+for+Eclipse
product,QOCA® image Smart RT Contouring System,quanta-qoca-image-smart-rt,Quanta Computer Inc.,not-registered,,,,,,,,,0,no UDI-DI record returned for this trade name (device registration mandatory from 2026-05-28),https://ec.europa.eu/tools/eudamed/api/devices/udiDiData?page=0&pageSize=20&size=20&languageIso2Code=en&tradeName=QOCA%C2%AE+image+Smart+RT+Contouring+System
product,ProSoma DART AI Segmentation Engine,medcom-prosoma-dart,MedCom,not-registered,,,,,,,,,0,no UDI-DI record returned for this trade name (device registration mandatory from 2026-05-28),https://ec.europa.eu/tools/eudamed/api/devices/udiDiData?page=0&pageSize=20&size=20&languageIso2Code=en&tradeName=ProSoma+DART+AI+Segmentation+Engine
product,uRT Auto-Contouring,united-urt-auto-contouring,United Imaging,not-registered,,,,,,,,,0,no UDI-DI record returned for this trade name (device registration mandatory from 2026-05-28),https://ec.europa.eu/tools/eudamed/api/devices/udiDiData?page=0&pageSize=20&size=20&languageIso2Code=en&tradeName=uRT+Auto-Contouring
product,DeepBT Detector-Plus,aitewan-deepbt-detector-plus,"Aitewan Biomedical Technology, Inc.",not-registered,,,,,,,,,0,no UDI-DI record returned for this trade name (device registration mandatory from 2026-05-28),https://ec.europa.eu/tools/eudamed/api/devices/udiDiData?page=0&pageSize=20&size=20&languageIso2Code=en&tradeName=DeepBT+Detector-Plus
product,MRCAT Brain,philips-mrcat-brain,Philips,not-registered,,,,,,,,,0,no UDI-DI record returned for this trade name (device registration mandatory from 2026-05-28),https://ec.europa.eu/tools/eudamed/api/devices/udiDiData?page=0&pageSize=20&size=20&languageIso2Code=en&tradeName=MRCAT+Brain
product,MRCAT Pelvis,philips-mrcat-pelvis,Philips,not-registered,,,,,,,,,0,no UDI-DI record returned for this trade name (device registration mandatory from 2026-05-28),https://ec.europa.eu/tools/eudamed/api/devices/udiDiData?page=0&pageSize=20&size=20&languageIso2Code=en&tradeName=MRCAT+Pelvis
product,MRCAT Head and Neck,philips-mrcat-head-and-neck,Philips,not-registered,,,,,,,,,0,no UDI-DI record returned for this trade name (device registration mandatory from 2026-05-28),https://ec.europa.eu/tools/eudamed/api/devices/udiDiData?page=0&pageSize=20&size=20&languageIso2Code=en&tradeName=MRCAT+Head+and+Neck
product,MRCAT Prostate + Auto-Contouring,philips-mrcat-prostate-auto-contouring,Philips,not-registered,,,,,,,,,0,no UDI-DI record returned for this trade name (device registration mandatory from 2026-05-28),https://ec.europa.eu/tools/eudamed/api/devices/udiDiData?page=0&pageSize=20&size=20&languageIso2Code=en&tradeName=MRCAT+Prostate+%2B+Auto-Contouring
product,syngo.via RT Image Suite,siemens-syngo-ct,Siemens Healthineers,ambiguous,DE-MF-000006122,,,,class-iib,0405686901998X2,,syngo.via RT Image Suite,2,manufacturer: Siemens Healthcare GmbH; 2 matching records,https://ec.europa.eu/tools/eudamed/api/devices/udiDiData?page=0&pageSize=20&size=20&languageIso2Code=en&tradeName=syngo.via+RT+Image+Suite
product,MRI Planner,spectronic-mriplanner,Spectronic Medical,confirmed,SE-MF-000024476,,,,class-iib,B-07350097430017,,MRI Planner,2,manufacturer: Spectronic Medical AB,https://ec.europa.eu/tools/eudamed/api/devices/udiDiData?page=0&pageSize=20&size=20&languageIso2Code=en&tradeName=MRI+Planner
product,Image+,mvision-image-plus,MVision AI,not-registered,,,,,,,,,0,no UDI-DI record returned for this trade name (device registration mandatory from 2026-05-28),https://ec.europa.eu/tools/eudamed/api/devices/udiDiData?page=0&pageSize=20&size=20&languageIso2Code=en&tradeName=Image%2B
product,MR-Box,mr-box-synthetic,Therapanacea,lookup-failed,,,,,,,,,0,device lookup: HTTP 429,https://ec.europa.eu/tools/eudamed/api/devices/udiDiData?page=0&pageSize=20&size=20&languageIso2Code=en&tradeName=MR-Box
product,AdaptBox,therapanacea-adaptbox,Therapanacea,not-registered,,,,,,,,,0,no UDI-DI record returned for this trade name (device registration mandatory from 2026-05-28),https://ec.europa.eu/tools/eudamed/api/devices/udiDiData?page=0&pageSize=20&size=20&languageIso2Code=en&tradeName=AdaptBox
product,Autofuse,pymedix-registration,PyMedix,not-registered,,,,,,,,,0,no UDI-DI record returned for this trade name (device registration mandatory from 2026-05-28),https://ec.europa.eu/tools/eudamed/api/devices/udiDiData?page=0&pageSize=20&size=20&languageIso2Code=en&tradeName=Autofuse
product,SmartFuse,therapanacea-smartfuse,Therapanacea,not-registered,,,,,,,,,0,no UDI-DI record returned for this trade name (device registration mandatory from 2026-05-28),https://ec.europa.eu/tools/eudamed/api/devices/udiDiData?page=0&pageSize=20&size=20&languageIso2Code=en&tradeName=SmartFuse
product,Adapt+,mvision-adapt-plus,MVision AI,ambiguous,,,,,,,,,6,"6 UDI-DI record(s) share this trade name, none from MVision AI; first manufacturer: Kingfisher International Products B.V.",https://ec.europa.eu/tools/eudamed/api/devices/udiDiData?page=0&pageSize=20&size=20&languageIso2Code=en&tradeName=Adapt%2B
